EXTRACTING STARTED at:05:00:02
Current time:05:30:17 users_left:661 current_user:1050704023
Current time:05:30:17 users_left:660 current_user:126968704
Current time:05:30:17 users_left:659 current_user:848254141
Current time:05:30:17 users_left:658 current_user:603848451
Current time:05:30:17 users_left:657 current_user:1073717168
Current time:05:30:17 users_left:656 current_user:1770670904
Current time:05:30:17 users_left:655 current_user:545127301
Current time:05:30:17 users_left:654 current_user:313964515
Current time:05:30:17 users_left:653 current_user:1691016535
Current time:05:30:17 users_left:652 current_user:84990221
Current time:05:30:17 users_left:651 current_user:269333587
Current time:05:30:17 users_left:650 current_user:95117113
Current time:05:30:17 users_left:649 current_user:501326401
Current time:05:30:18 users_left:648 current_user:237553425
Current time:05:30:18 users_left:647 current_user:116718724
Current time:05:30:18 users_left:646 current_user:619929776
Current time:05:30:18 users_left:645 current_user:80350954
Current time:05:30:18 users_left:644 current_user:903840836
Current time:05:30:18 users_left:643 current_user:483855980
Current time:05:30:18 users_left:642 current_user:493462402
Current time:05:30:18 users_left:641 current_user:910060981
Current time:05:30:18 users_left:640 current_user:164741666
Current time:05:30:18 users_left:639 current_user:464613073
Current time:05:30:18 users_left:638 current_user:774268902
Current time:05:30:18 users_left:637 current_user:1001414520
Current time:05:30:18 users_left:636 current_user:391340447
Current time:05:30:19 users_left:635 current_user:964325959
Current time:05:30:19 users_left:634 current_user:577310151
Current time:05:30:19 users_left:633 current_user:340441769
Current time:05:30:19 users_left:632 current_user:260755991
Current time:05:30:19 users_left:631 current_user:177290470
Current time:05:30:19 users_left:630 current_user:763459106
Current time:05:30:19 users_left:629 current_user:1868631625
Current time:05:30:19 users_left:628 current_user:1522977306
Current time:05:30:19 users_left:627 current_user:160557780
Current time:05:30:19 users_left:626 current_user:294101651
SECONDS TO SLEEP: 907s
Time when to request again: 05:45:26
Current time:05:30:19 users_left:625 current_user:259403590
Current time:05:30:20 users_left:624 current_user:1405850066
Current time:05:30:20 users_left:623 current_user:435970564
Current time:05:30:20 users_left:622 current_user:89677148
Current time:05:30:20 users_left:621 current_user:99367652
Current time:05:30:20 users_left:620 current_user:201293719
Current time:05:30:20 users_left:619 current_user:605342888
Current time:05:30:20 users_left:618 current_user:1446921950
Current time:05:30:20 users_left:617 current_user:88236973
Current time:05:30:20 users_left:616 current_user:1969369358
SECONDS TO SLEEP: 909s
Time when to request again: 05:45:29
Current time:05:30:20 users_left:615 current_user:110291524
Current time:05:30:20 users_left:614 current_user:226558649
Current time:05:30:20 users_left:613 current_user:1007551638
Current time:05:30:20 users_left:612 current_user:1464390986
Current time:05:30:20 users_left:611 current_user:131123830
Current time:05:30:20 users_left:610 current_user:125036881
Current time:05:30:20 users_left:609 current_user:631177284
Current time:05:30:20 users_left:608 current_user:48320693
Current time:05:30:21 users_left:607 current_user:169727308
Current time:05:30:21 users_left:606 current_user:730512079
Current time:05:30:21 users_left:605 current_user:1218439880
Current time:05:30:21 users_left:604 current_user:59781222
Current time:05:30:21 users_left:603 current_user:756867997
Current time:05:30:21 users_left:602 current_user:70398928
Current time:05:30:21 users_left:601 current_user:248619328
Current time:05:30:21 users_left:600 current_user:253960325
Current time:05:30:21 users_left:599 current_user:22796606
Current time:05:30:21 users_left:598 current_user:58905582
Current time:05:30:22 users_left:597 current_user:1880492911
Current time:05:30:22 users_left:596 current_user:893740284
Current time:05:30:22 users_left:595 current_user:389074267
Current time:05:30:22 users_left:594 current_user:72807623
Current time:05:30:22 users_left:593 current_user:1531678399
Current time:05:30:22 users_left:592 current_user:219771617
Current time:05:30:22 users_left:591 current_user:61745125
Current time:05:30:22 users_left:590 current_user:2241413155
Current time:05:30:22 users_left:589 current_user:153212015
Current time:05:30:22 users_left:588 current_user:389074879
Current time:05:30:22 users_left:587 current_user:171405775
Current time:05:30:22 users_left:586 current_user:616579034
Current time:05:30:22 users_left:585 current_user:459786318
Current time:05:30:22 users_left:584 current_user:2249349974
Current time:05:30:23 users_left:583 current_user:2186172660
Current time:05:30:23 users_left:582 current_user:725049079
Current time:05:30:23 users_left:581 current_user:1504733539
Current time:05:30:23 users_left:580 current_user:326766427
Current time:05:30:23 users_left:579 current_user:300190687
Current time:05:30:23 users_left:578 current_user:490646507
Current time:05:30:23 users_left:577 current_user:946719036
Current time:05:30:23 users_left:576 current_user:936968755
Current time:05:30:23 users_left:575 current_user:287209886
Current time:05:30:23 users_left:574 current_user:1385407986
Current time:05:30:23 users_left:573 current_user:895426771
Current time:05:30:23 users_left:572 current_user:1746272443
Current time:05:30:24 users_left:571 current_user:63159595
Current time:05:30:24 users_left:570 current_user:44417479
Current time:05:30:24 users_left:569 current_user:8411722
Current time:05:30:24 users_left:568 current_user:29947055
Current time:05:30:24 users_left:567 current_user:373301399
Current time:05:30:24 users_left:566 current_user:1601126942
Current time:05:30:24 users_left:565 current_user:249174479
Current time:05:30:24 users_left:564 current_user:1081108626
Current time:05:30:24 users_left:563 current_user:35333992
Current time:05:30:24 users_left:562 current_user:1415593026
Current time:05:30:24 users_left:561 current_user:352577057
Current time:05:30:25 users_left:560 current_user:1551673555
Current time:05:30:25 users_left:559 current_user:603857453
Current time:05:30:25 users_left:558 current_user:390670677
Current time:05:30:25 users_left:557 current_user:225189072
Current time:05:30:25 users_left:556 current_user:2153465785
Current time:05:30:25 users_left:555 current_user:95396739
Current time:05:30:25 users_left:554 current_user:39024094
Current time:05:30:25 users_left:553 current_user:380338445
Current time:05:30:25 users_left:552 current_user:390807773
Current time:05:30:25 users_left:551 current_user:215070958
Current time:05:30:25 users_left:550 current_user:1701951763
Current time:05:30:25 users_left:549 current_user:85786147
Current time:05:30:25 users_left:548 current_user:18490806
Current time:05:30:26 users_left:547 current_user:293423966
Current time:05:30:26 users_left:546 current_user:141244242
SECONDS TO SLEEP: 900s
Time when to request again: 05:45:26
SECONDS TO SLEEP: 909s
Time when to request again: 05:45:35
Current time:05:30:26 users_left:545 current_user:560723883
Current time:05:30:26 users_left:544 current_user:15743176
Current time:05:30:26 users_left:543 current_user:331134624
Current time:05:30:26 users_left:542 current_user:35564957
Current time:05:30:26 users_left:541 current_user:1393438729
Current time:05:30:26 users_left:540 current_user:1528516274
Current time:05:30:27 users_left:539 current_user:1147649658
Current time:05:30:27 users_left:538 current_user:1122790038
Current time:05:30:27 users_left:537 current_user:570874660
Current time:05:30:27 users_left:536 current_user:457834511
Current time:05:30:27 users_left:535 current_user:772512230
Current time:05:30:27 users_left:534 current_user:99731297
Current time:05:30:27 users_left:533 current_user:571637996
Current time:05:30:27 users_left:532 current_user:950061445
